NUM,x,y,z,expected
ST001,1,35,40,280
ST002,2,30,42,259
ST003,45,35,44,463
ST004,89,32,41,594.25
ST005,90,32,40,593.5
ST006,45,1,40,215.5
ST007,48,3,44,258.25
ST008,40,68,43,662.5
ST009,44,70,41,682
ST010,45,35,1,269.5
ST011,47,30,2,247.75
ST012,44,34,79,610
ST013,48,33,80,622.75
ST014,-1,35,40,显示器数量错误
ST015,95,33,42,显示器数量错误
ST016,45,-5,40,主机数量错误
ST017,44,78,38,主机数量错误
ST018,43,35,0,外设数量错误
ST019,45,35,150,外设数量错误
ST020,1,1,1,5
ST021,2,3,5,16.75
ST022,4,4,7,24.5
ST023,6,9,8,39.75
ST024,10,10,10,50
ST025,11,12,11,64.5
ST026,14,13,16,91.5
ST027,20,15,18,121.5
ST028,68,1,1,127.5
ST029,35,27,46,380.5
ST030,49,51,33,536.5
ST031,56,63,58,756.25
ST032,78,69,76,960.25
ST033,90,70,80,1030
