No.,holding_Time,owe_Num,month,Expect,Reality,Result,Time,Staff
PT001,20,0,2,27.97,,,,
PT002,35,2,5,30.25,,,,
PT003,35,3,5,30.25,,,,
PT004,35,5,8,30.25,,,,
PT005,35,9,11,30.25,,,,
PT006,67,1,4,34.90,,,,
PT007,67,2,4,34.90,,,,
PT008,118,3,6,42.70,,,,
PT009,118,4,6,42.70,,,,
PT010,118,7,8,42.70,,,,
PT011,144,1,5,46.17,,,,
PT012,144,2,6,46.17,,,,
PT013,144,3,12,46.17,,,,
PT014,156,6,7,48.40,,,,
PT015,156,8,11,48.40,,,,
PT016,202,0,6,54.54,,,,
PT017,202,2,12,54.54,,,,
PT018,202,3,7,54.54,,,,
PT019,250,4,8,80.29,,,,
PT020,250,11,12,80.29,,,,
PT021,380,1,12,80.29,,,,
PT022,380,2,7,80.29,,,,
PT023,380,3,8,80.29,,,,
PT024,380,5,9,80.29,,,,
PT025,493,8,11,98.95,,,,
PT026,-20,10,11,数据错误,,,,
PT027,20,13,11,数据错误,,,,
PT028,20,10,25,数据错误,,,,
PT029,-18,-1,11,数据错误,,,,
PT030,-110,10,0,数据错误,,,,
PT031,20,19,19,数据错误,,,,
PT032,-5,6,2,数据错误,,,,
PT033,56,13,1,数据错误,,,,
