No.,X,Y,Z,Expect,Reality,Result,Time,Staff
DT001,1800,5,15,1800/05/16,1800/05/16,True,2017/05/11 14:57:06,Tester
DT002,1803,7,31,1803/08/01,1803/08/01,True,2017/05/11 14:57:06,Tester
DT003,1950,6,16,1950/06/17,1950/06/17,True,2017/05/11 14:57:06,Tester
DT004,2008,5,9,2008/05/10,2008/05/10,True,2017/05/11 14:57:06,Tester
DT005,2100,8,11,2100/08/12,2100/08/12,True,2017/05/11 14:57:06,Tester
DT006,1820,1,15,1820/01/16,1820/01/16,True,2017/05/11 14:57:06,Tester
DT007,1902,3,24,1902/03/25,1902/03/25,True,2017/05/11 14:57:06,Tester
DT008,1933,10,11,1933/10/12,1933/10/12,True,2017/05/11 14:57:06,Tester
DT009,2005,12,3,2005/12/04,2005/12/04,True,2017/05/11 14:57:06,Tester
DT010,1936,1,1,1936/01/02,1936/01/02,True,2017/05/11 14:57:06,Tester
DT011,1801,5,2,1801/05/03,1801/05/03,True,2017/05/11 14:57:06,Tester
DT012,2012,8,28,2012/08/29,2012/08/29,True,2017/05/11 14:57:06,Tester
DT013,2088,12,31,2089/01/01,2089/01/01,True,2017/05/11 14:57:06,Tester
DT014,1900,2,28,1900/03/01,1900/03/01,True,2017/05/11 14:57:06,Tester
DT015,1900,2,29,错误日期,错误日期,True,2017/05/11 14:57:06,Tester
DT016,2000,2,28,2000/02/29,2000/02/29,True,2017/05/11 14:57:06,Tester
DT017,2000,2,29,2000/03/01,2000/03/01,True,2017/05/11 14:57:06,Tester
DT018,1700,5,20,年错误,年错误,True,2017/05/11 14:57:06,Tester
DT019,2220,3,18,年错误,年错误,True,2017/05/11 14:57:06,Tester
DT020,1995,-3,15,月错误,月错误,True,2017/05/11 14:57:06,Tester
DT021,1980,15,21,月错误,月错误,True,2017/05/11 14:57:06,Tester
DT022,1843,6,0,日错误,日错误,True,2017/05/11 14:57:06,Tester
DT023,1922,12,57,日错误,日错误,True,2017/05/11 14:57:06,Tester
DT024,-1933,2,25,年错误,年错误,True,2017/05/11 14:57:06,Tester
DT025,1850,6,-5,日错误,日错误,True,2017/05/11 14:57:06,Tester
