No.,X,Y,Z,Expect,Reality,Result,Time,Staff
PT001,20,0,2,27.97,27.97,True,2017-05-19 00:02:18,Tester 1
PT002,35,2,5,30.25,30.25,True,2017-05-19 00:02:18,Tester 1
PT003,35,3,5,30.25,30.25,True,2017-05-19 00:02:18,Tester 1
PT004,35,5,8,30.25,30.25,True,2017-05-19 00:02:18,Tester 1
PT005,35,9,11,30.25,30.25,True,2017-05-19 00:02:18,Tester 1
PT006,67,1,4,34.89925,34.89925,True,2017-05-19 00:02:18,Tester 1
PT007,67,2,4,34.89925,34.89925,True,2017-05-19 00:02:18,Tester 1
PT008,118,3,6,42.7,42.7,True,2017-05-19 00:02:18,Tester 1
PT009,118,4,6,42.7,42.7,True,2017-05-19 00:02:18,Tester 1
PT010,118,7,8,42.7,42.7,True,2017-05-19 00:02:18,Tester 1
PT011,144,1,5,46.168,46.168,True,2017-05-19 00:02:18,Tester 1
PT012,144,2,6,46.168,46.168,True,2017-05-19 00:02:18,Tester 1
PT013,144,3,12,46.168,46.168,True,2017-05-19 00:02:18,Tester 1
PT014,156,6,7,48.4,48.4,True,2017-05-19 00:02:18,Tester 1
PT015,156,8,11,48.4,48.4,True,2017-05-19 00:02:18,Tester 1
PT016,202,0,6,54.5425,54.5425,True,2017-05-19 00:02:18,Tester 1
PT017,202,2,12,54.5425,54.5425,True,2017-05-19 00:02:18,Tester 1
PT018,202,3,7,54.5425,54.5425,True,2017-05-19 00:02:18,Tester 1
PT019,250,4,8,62.5,62.5,True,2017-05-19 00:02:18,Tester 1
PT020,250,11,12,62.5,62.5,True,2017-05-19 00:02:18,Tester 1
PT021,380,1,12,80.29,80.29,True,2017-05-19 00:02:18,Tester 1
PT022,380,2,7,80.29,80.29,True,2017-05-19 00:02:18,Tester 1
PT023,380,3,8,80.29,80.29,True,2017-05-19 00:02:18,Tester 1
PT024,380,5,9,80.29,80.29,True,2017-05-19 00:02:18,Tester 1
PT025,493,8,11,98.95,98.95,True,2017-05-19 00:02:18,Tester 1
PT026,-20,10,11,输入错误,输入有误,False,2017-05-19 00:02:18,Tester 1
PT027,20,13,11,time error,time error,True,2017-05-19 00:02:18,Tester 1
PT028,20,10,25,time error,time error,True,2017-05-19 00:02:18,Tester 1
PT029,-18,-1,11,输入错误,time error,False,2017-05-19 00:02:18,Tester 1
PT030,-110,10,0,输入错误,month:0=> owe_Num:10,False,2017-05-19 00:02:18,Tester 1
PT031,20,19,19,time error,time error,True,2017-05-19 00:02:18,Tester 1
PT032,-5,6,2,输入错误,month:2=> owe_Num:6,False,2017-05-19 00:02:18,Tester 1
PT033,56,13,1,输入错误,time error,False,2017-05-19 00:02:18,Tester 1
PT034,44640,5,8,6520.12,6520.12,True,2017-05-19 00:02:18,Tester 1
PT035,58552,3,12,outTime,8544.316,False,2017-05-19 00:02:18,Tester 1
PT036,150,-1,6,time error,time error,True,2017-05-19 00:02:18,Tester 1
PT037,150,5,-8,time error,time error,True,2017-05-19 00:02:18,Tester 1
PT038,144,7,0,time error,month:0=> owe_Num:7,False,2017-05-19 00:02:18,Tester 1
