编号,年,月,日,预期结果
DT001,1903,1,1,1903/1/2
DT002,1907,7,28,1907/7/29
DT003,1911,3,29,1911/3/30
DT004,1915,5,30,1915/5/31
DT005,1937,8,31,1937/9/1
DT006,1945,2,5,1945/2/6
DT007,1949,2,28,1949/3/1
DT008,1953,2,29,日错误
DT009,1959,2,30,日错误
DT010,1961,2,31,日错误
DT011,1962,4,6,1962/4/7
DT012,1970,6,28,1970/6/29
DT013,1979,9,29,1979/9/30
DT014,1989,11,30,1989/12/1
DT015,2015,9,31,日错误
DT016,2019,12,15,2019/12/16
DT017,2038,12,28,2038/12/29
DT018,2055,12,29,2055/12/30
DT019,2097,12,30,2097/12/31
DT020,2098,12,31,2099/1/1
DT021,1908,10,13,1908/10/14
DT022,1912,8,28,1912/8/29
DT023,1916,7,29,1916/7/30
DT024,1920,5,30,1920/5/31
DT025,1928,3,31,1928/4/1
DT026,1936,2,17,1936/2/18
DT027,1944,2,28,1936/2/29
DT028,1952,2,29,1952/3/1
DT029,1960,2,30,日错误
DT030,1980,2,31,日错误
DT031,1992,4,23,1992/4/24
DT032,2000,9,28,2000/9/29
DT033,2008,11,29,2008/11/30
DT034,2016,6,30,2016/7/1
DT035,2020,4,31,日错误
DT036,2040,12,27,2040/12/28
DT037,2060,12,28,2060/12/29
DT038,2080,12,29,2080/12/30
DT039,2088,12,30,2088/12/31
DT040,2096,12,31,2097/1/1
DT041,2800,5,15,年错误
DT042,1903,-7,31,月错误
DT043,1950,6,0,日错误
DT044,208,15,9,输入错误
DT045,2200,8,111,输入错误
DT046,1920,-1,-15,输入错误
DT047,192,13,65,输入错误
