NUM,x,y,z,expected
ST01,1,35,40,280
ST02,2,30,42,259
ST03,45,35,44,463
ST04,89,32,41,594.25
ST05,90,32,40,593.5
ST06,45,1,40,215.5
ST07,48,3,44,258.25
ST08,40,68,43,662.5
ST09,44,70,41,682
ST10,45,35,1,269.5
ST11,47,30,2,247.75
ST12,44,34,79,610
ST13,48,33,80,622.75
ST14,-1,35,40,显示器数量错误
ST15,95,33,42,显示器数量错误
ST16,45,-5,40,主机数量错误
ST17,44,78,38,主机数量错误
ST18,43,35,0,外设数量错误
ST19,45,35,150,外设数量错误
ST20,1,1,1,5
ST21,2,3,5,16.75
ST22,4,4,7,24.5
ST23,6,9,8,39.75
ST24,10,10,10,50
ST25,11,12,11,64.5
ST26,14,13,16,91.5
ST27,20,15,18,121.5
ST28,68,1,1,127.5
ST29,35,27,46,380.5
ST30,49,51,33,536.5
ST31,56,63,58,756.25
ST32,78,69,76,960.25
ST33,90,70,80,1030
